cntry_code,year,proj_r1Gini_SSP1,proj_r1Gini_SSP2,proj_r1Gini_SSP3,proj_r1Gini_SSP4,proj_r1Gini_SSP5,proj_rmultiGini_SSP1,proj_rmultiGini_SSP2,proj_rmultiGini_SSP3,proj_rmultiGini_SSP4,proj_rmultiGini_SSP5,gini_std
BLR,2035,25.730347,31.227812,34.83411,36.037132,26.447502,40.225201,43.407436,44.479935,47.190472,41.223408,14.97132
BLR,2036,25.611435,31.389669,35.182762,36.475277,26.377905,40.265282,43.636677,44.732769,47.62891,41.336369,15.15624
BLR,2037,25.464737,31.53454,35.529312,36.902634,26.273796,40.288872,43.865803,44.987221,48.06934,41.424068,15.343904
BLR,2038,25.300631,31.677671,35.877026,37.333424,26.144426,40.29483,44.095787,45.243114,48.514061,41.484867,15.537623
BLR,2039,25.119131,31.819101,36.225842,37.767593,25.990093,40.283092,44.326595,45.500393,48.963001,41.519077,15.737322
BLR,2040,24.92037,31.958857,36.575733,38.205074,25.811186,40.25367,44.558197,45.759007,49.41608,41.527061,15.942923
BLR,2041,24.705442,32.096542,36.926792,38.645302,25.609478,40.207767,44.790035,46.019077,49.872623,41.510841,16.154137
BLR,2042,24.477295,32.22554,37.279613,39.083382,25.388594,40.147369,45.023075,46.28167,50.333107,41.472759,16.368494
BLR,2043,24.232189,32.352917,37.633377,39.524544,25.143917,40.069321,45.256767,46.545437,50.797443,41.409134,16.588501
BLR,2044,23.970221,32.478775,37.988041,39.968739,24.875641,39.973648,45.491123,46.810333,51.265575,41.32016,16.814114
BLR,2045,23.691542,32.6031,38.343582,40.415939,24.583984,39.860428,45.726093,47.076321,51.737469,41.206017,17.045301
BLR,2046,23.400351,32.72636,38.700577,40.866974,24.274464,39.734554,45.96217,47.344086,52.214104,41.073162,17.28109
BLR,2047,23.110628,32.85009,39.064335,41.32608,23.959776,39.597065,46.200996,47.615486,52.697315,40.921642,17.519293
BLR,2048,22.804766,32.972412,39.428894,41.788094,23.622295,39.442432,46.440411,47.88789,53.184158,40.745464,17.762732
BLR,2049,22.482821,33.093418,39.794231,42.252991,23.262024,39.270679,46.680431,48.161259,53.67461,40.544609,18.011402
BLR,2050,22.144968,33.213192,40.160324,42.720753,22.879026,39.081898,46.921082,48.43557,54.168648,40.319077,18.265312
BLR,2051,21.993038,33.332119,40.528152,43.191479,22.747168,39.113403,47.162815,48.71199,54.666386,40.389915,18.479036
BLR,2052,21.844955,33.451916,40.906223,43.665298,22.617668,39.143517,47.406944,48.992947,55.168636,40.458805,18.693663
BLR,2053,21.692104,33.570602,41.285015,44.141907,22.482485,39.169376,47.651699,49.274803,55.674374,40.522709,18.910664
BLR,2054,21.534649,33.688213,41.664516,44.6213,22.341812,39.191101,47.897079,49.557541,56.183601,40.581814,19.130035
BLR,2055,21.372673,33.804829,42.044712,45.103481,22.195793,39.208759,48.143124,49.841145,56.69632,40.636276,19.35178
BLR,2056,21.2055,33.919617,42.426056,45.58659,22.043415,39.221485,48.38879,50.126148,57.210331,40.68486,19.576094
BLR,2057,21.031221,34.026451,42.812057,46.063366,21.883221,39.23,48.63406,50.413494,57.724743,40.728905,19.802998
BLR,2058,20.852726,34.132401,43.198746,46.542854,21.717995,39.234642,48.87999,50.701694,58.242554,40.76857,20.032276
BLR,2059,20.670191,34.237549,43.586105,47.025059,21.547915,39.235538,49.12661,50.99073,58.763775,40.803993,20.263945
BLR,2060,20.48366,34.341911,43.974129,47.509995,21.373016,39.232746,49.37392,51.280586,59.288429,40.835239,20.498018
BLR,2061,20.290741,34.443802,44.362473,47.994041,21.190466,39.223366,49.619854,51.570862,59.812252,40.858921,20.735106
BLR,2062,20.086304,34.533432,44.749031,48.466053,20.997074,39.208755,49.863892,51.860718,60.333561,40.877354,20.975695
BLR,2063,19.878086,34.622345,45.136219,48.940651,20.798954,39.190556,50.108585,52.151363,60.858139,40.891598,21.218763
BLR,2064,19.666193,34.710659,45.524044,49.41787,20.596209,39.168835,50.353992,52.442795,61.386021,40.901741,21.464336
BLR,2065,19.450636,34.798393,45.912487,49.897713,20.388805,39.143616,50.600121,52.734997,61.917221,40.907764,21.712437
BLR,2066,19.231239,34.883762,46.300739,50.376637,20.177214,39.114605,50.844826,53.027008,62.447571,40.910145,21.963173
BLR,2067,19.007414,34.957932,46.683552,50.846443,19.961926,39.082123,51.087883,53.317398,62.975708,40.908936,22.216614
BLR,2068,18.78019,35.031624,47.066959,51.318794,19.742128,39.046318,51.331665,53.608532,63.507072,40.903675,22.472635
BLR,2069,18.549614,35.104885,47.450958,51.793705,19.517822,39.007233,51.576191,53.900402,64.041687,40.894367,22.731268
BLR,2070,18.315784,35.177715,47.835548,52.27121,19.289059,38.964928,51.821457,54.193005,64.579597,40.881031,22.99254
BLR,2071,18.08186,35.249683,48.220261,52.748417,19.061083,38.923096,52.066898,54.48579,65,40.869797,23.255764
BLR,2072,17.852859,35.31842,48.6021,53.221413,18.838001,38.880013,52.312691,54.77821,65,40.856907,23.520458
BLR,2073,17.620844,35.386841,48.984509,53.696957,18.610641,38.833931,52.559273,55.071342,65,40.840164,23.787794
BLR,2074,17.385876,35.455097,49.367489,54.175083,18.379013,38.784885,52.806736,55.365189,65,40.819561,24.057798
BLR,2075,17.148022,35.523136,49.751041,54.655819,18.143097,38.732929,53.055046,55.659744,65,40.795052,24.330505
BLR,2076,16.912935,35.592144,50.135235,55.13718,17.911654,38.684689,53.305531,55.955101,65,40.776897,24.604645
BLR,2077,16.688442,35.665867,50.52,55.619225,17.689693,38.636623,53.558296,56.251648,65,40.758091,24.879429
BLR,2078,16.461336,35.739613,50.905334,56.103886,17.463757,38.585915,53.812073,56.548904,65,40.735733,25.156914
BLR,2079,16.231667,35.813393,51.291245,56.591217,17.233795,38.5326,54.066879,56.846878,65,40.709751,25.437136
BLR,2080,15.999459,35.887299,51.677731,57.081242,16.999805,38.476685,54.322758,57.145569,65,40.680138,25.720123
BLR,2081,15.770971,35.962906,52.065067,57.571861,16.771193,38.425484,54.58157,57.445301,65,40.657871,26.004484
BLR,2082,15.553735,36.045414,52.454372,58.063629,16.552002,38.374641,54.843128,57.746628,65,40.634949,26.289509
BLR,2083,15.334259,36.128185,52.844261,58.558121,16.329077,38.321484,55.105896,58.048687,65,40.608704,26.577316
BLR,2084,15.112514,36.211288,53.234737,59.055378,16.102261,38.266006,55.369911,58.351471,65,40.578999,26.867939
BLR,2085,15,36.294834,53.625797,59.555435,15.871602,38.208218,55.635242,58.654987,65,40.545845,27.161409
BLR,2086,15,36.379642,54.017418,60.055477,15.651398,38.158852,55.902901,58.959209,65,40.525944,27.45566
BLR,2087,15,36.468609,54.409298,60.554832,15.44608,38.110996,56.172642,59.264206,65,40.506531,27.749882
BLR,2088,15,36.558105,54.801769,61.057007,15.237307,38.061165,56.443794,59.569942,65,40.484131,28.046955
BLR,2089,15,36.648224,55.194843,61.562038,15.025021,38.009369,56.716412,59.876431,65,40.458694,28.346914
BLR,2090,15,36.738964,55.588509,62.069977,15,37.955585,56.990513,60.183659,65,40.430134,28.649797
BLR,2091,15,36.830326,55.982365,62.57793,15,37.905052,57.26606,60.491146,65,40.406902,28.954624
BLR,2092,15,36.922497,56.374538,63.084515,15,37.854179,57.542988,60.798508,65,40.382275,29.261127
BLR,2093,15,37.015404,56.767315,63.594028,15,37.801495,57.821484,61.106617,65,40.354664,29.570614
BLR,2094,15,37.109131,57.160694,64.106522,15,37.747002,58.101612,61.415482,65,40.324047,29.883127
BLR,2095,15,37.20372,57.554688,64.622025,15,37.690693,58.383404,61.725109,65,40.290306,30.1987
BLR,2096,15,37.299221,57.948811,65,15,37.641857,58.666897,62.034935,65,40.26886,30.515543
BLR,2097,15,37.395863,58.341133,65,15,37.594036,58.951977,62.344551,65,40.247368,30.83325
BLR,2098,15,37.493511,58.734074,65,15,37.544636,59.238834,62.654938,65,40.22316,31.154068
BLR,2099,15,37.592171,59.127632,65,15,37.493633,59.527481,62.966091,65,40.196117,31.478033
BLR,2100,15,37.69186,59.521809,65,15,37.441059,59.817947,63.278019,65,40.166214,31.805185
BEL,2011,28.349951,28.344276,28.335514,28.333109,28.348331,27.500149,27.492714,27.480547,27.477917,27.498253,11.115264
BEL,2012,27.892925,27.981678,28.113186,28.147654,27.888725,27.366737,27.375122,27.405964,27.410469,27.36425,11.356107
BEL,2013,27.666283,27.854189,28.134102,28.205471,27.659351,27.234299,27.261703,27.33997,27.351643,27.231049,11.432509
BEL,2014,27.669338,27.958546,28.395256,28.503553,27.659782,27.381855,27.428631,27.559221,27.578094,27.377966,11.514664
BEL,2015,27.500769,27.895214,28.496185,28.641371,27.488419,27.331863,27.400576,27.587345,27.613371,27.327139,11.596318
BEL,2016,27.33794,27.849993,28.634562,28.815845,27.32049,27.297714,27.400578,27.661079,27.693401,27.289457,11.685934
BEL,2017,27.265703,27.834431,28.743889,28.975107,27.243095,27.315554,27.43136,27.736233,27.778442,27.306067,11.763721
BEL,2018,27.214397,27.842302,28.884867,29.16474,27.184961,27.364208,27.494232,27.848635,27.899244,27.351549,11.842776
BEL,2019,27.118797,27.810179,28.996603,29.32024,27.076954,27.366192,27.513935,27.926016,27.97941,27.34395,11.92323
BEL,2020,27.014381,27.773514,29.110016,29.478451,26.959938,27.364017,27.533012,28.005596,28.063292,27.332289,12.007133
BEL,2021,26.900686,27.731668,29.224249,29.6385,26.833448,27.356953,27.550659,28.086456,28.150009,27.315823,12.094034
BEL,2022,26.790775,27.69643,29.362772,29.836626,26.708294,27.354563,27.576115,28.180346,28.25386,27.303663,12.176432
BEL,2023,26.671864,27.6558,29.501913,30.036457,26.573481,27.346998,27.599485,28.275049,28.360069,27.285862,12.261749
BEL,2024,26.543837,27.609703,29.641529,30.237787,26.42881,27.333906,27.620483,28.370377,28.468359,27.261965,12.349881
BEL,2025,26.406736,27.558027,29.781433,30.440411,26.274157,27.315109,27.638866,28.466085,28.578449,27.231581,12.440732
BEL,2026,26.260509,27.500652,29.921385,30.644138,26.109293,27.290398,27.654409,28.561926,28.690058,27.194336,12.534039
BEL,2027,26.107479,27.437822,30.064434,30.834349,25.947628,27.266972,27.673832,28.664541,28.8064,27.159954,12.624622
BEL,2028,25.945534,27.36935,30.207422,31.025211,25.775747,27.237419,27.690189,28.767076,28.923693,27.118143,12.717694
BEL,2029,25.774889,27.295282,30.350296,31.216618,25.593693,27.20178,27.703442,28.869465,29.041779,27.068726,12.813181
BEL,2030,25.595661,27.215654,30.493023,31.408434,25.401466,27.160015,27.713543,28.971661,29.16049,27.011501,12.911012
BEL,2031,25.40794,27.13055,30.635456,31.600569,25.199177,27.11215,27.720512,29.073563,29.279779,26.946522,13.010856
BEL,2032,25.219217,27.043333,30.786909,31.803362,24.99749,27.065842,27.731255,29.182753,29.407368,26.88228,13.107354
BEL,2033,25.023624,26.948822,30.936207,32.007301,24.790627,27.014881,27.736538,29.289398,29.536369,26.815464,13.205843
BEL,2034,24.820086,26.849247,31.085505,32.210915,24.573639,26.957848,27.738962,29.396093,29.665012,26.739996,13.306207
BEL,2035,24.608824,26.74472,31.234785,32.414204,24.346741,26.894844,27.73856,29.502811,29.793301,26.655983,13.408411
BEL,2036,24.3901,26.635366,31.383986,32.617325,24.110399,26.826126,27.735432,29.609554,29.921488,26.563946,13.512144
