cntry_code,year,policy_both3_r1Gini_SSP1,policy_both3_r1Gini_SSP2,policy_both3_r1Gini_SSP3,policy_both3_r1Gini_SSP4
BRA,2100,32.906342,55.357655,79.819473,86.260643
BGR,2011,36.120251,36.114277,36.104794,36.103371
BGR,2012,35.952427,36.133041,36.245274,36.244045
BGR,2013,35.914841,36.286068,36.527901,36.526642
BGR,2014,35.817028,36.384834,36.763428,36.762016
BGR,2015,35.7798,36.551899,37.07584,37.07431
BGR,2016,35.726009,36.717342,37.397495,37.39492
BGR,2017,35.867489,36.993519,37.790825,37.828247
BGR,2018,36.125523,37.405884,38.341507,38.40926
BGR,2019,36.34697,37.778625,38.839989,38.959633
BGR,2020,36.556721,38.137203,39.324234,39.505848
BGR,2021,36.754749,38.481812,39.794498,40.048302
BGR,2022,36.954517,38.830021,40.279354,40.620396
BGR,2023,37.141701,39.164017,40.749779,41.187428
BGR,2024,37.315868,39.483925,41.205887,41.749207
BGR,2025,37.476719,39.789829,41.6478,42.305592
BGR,2026,37.623199,40.081692,42.076008,42.854229
BGR,2027,37.727715,40.347862,42.501499,43.349346
BGR,2028,37.817619,40.600334,42.913261,43.838348
BGR,2029,37.892773,40.83926,43.311478,44.321255
BGR,2030,37.95295,41.0648,43.696308,44.798092
BGR,2031,37.997429,41.276936,44.068069,45.26862
BGR,2032,38.014046,41.465931,44.432205,45.72467
BGR,2033,38.019333,41.636223,44.775227,46.170982
BGR,2034,38.005257,41.802479,45.118191,46.617702
BGR,2035,37.972328,41.964832,45.461082,47.064846
BGR,2036,37.920944,42.123222,45.803978,47.512108
BGR,2037,37.848354,42.271206,46.149044,47.952663
BGR,2038,37.758217,42.415497,46.493984,48.393555
BGR,2039,37.650982,42.556202,46.838795,48.834812
BGR,2040,37.527176,42.69342,47.18346,49.276459
BGR,2041,37.388157,42.827267,47.528198,49.718487
BGR,2042,37.241142,42.956223,47.878098,50.159622
BGR,2043,37.078949,43.081963,48.227859,50.601208
BGR,2044,36.901989,43.204639,48.57748,51.043293
BGR,2045,36.710732,43.324299,48.926964,51.48592
BGR,2046,36.507423,43.44109,49.276608,51.929482
BGR,2047,36.30534,43.554352,49.632996,52.377789
BGR,2048,36.090145,43.664871,49.989265,52.826763
BGR,2049,35.86216,43.772789,50.345421,53.276463
BGR,2050,35.621765,43.878254,50.701466,53.726959
BGR,2051,35.508728,43.98111,51.057838,54.178078
BGR,2052,35.394802,44.077999,51.423149,54.627605
BGR,2053,35.276276,44.172668,51.788391,55.078049
BGR,2054,35.153412,44.265209,52.153572,55.529476
BGR,2055,35.02639,44.355732,52.518696,55.981964
BGR,2056,34.89497,44.443928,52.88401,56.434605
BGR,2057,34.756523,44.523197,53.25407,56.879913
BGR,2058,34.614479,44.600723,53.624126,57.326443
BGR,2059,34.469101,44.676628,53.99419,57.77425
BGR,2060,34.320484,44.750973,54.364269,58.223419
BGR,2061,34.168518,44.823593,54.734375,58.672497
BGR,2062,34.011265,44.889946,55.105213,59.112514
BGR,2063,33.851254,44.954983,55.476109,59.55402
BGR,2064,33.688644,45.018864,55.847073,59.997078
